7820,0,646,0,2,0,0,0,0,0,1,74,0,2,0,182,0,2952,0,1,16,63,0,0,0,2
7821,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
7822,0,0,0,2,0,0,0,0,0,1,2,0,2,0,191,0,3,0,1490,598,2,0,0,0,2
7823,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
7824,0,0,0,1909,672,0,0,0,1842,117,0,0,1240,0,806,0,2953,2238,1491,1,1897,0,2560,0,1635
7825,0,0,0,2,0,0,0,0,0,1,118,0,1241,0,1,0,2954,0,1,599,18,0,0,0,2
7826,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
7827,0,0,0,1910,0,0,0,0,0,733,0,0,1048,2360,807,0,2955,2239,1,1,1898,0,2561,0,2
7828,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
7829,0,0,0,1911,0,0,0,0,0,18,1054,0,275,2361,114,0,2956,0,1,600,373,0,2562,0,2
