A,B,C,D,E,F,G,H,I,J
0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,1,1,1,1
2,2,2,2,2,0,1,2,2,1
3,3,3,3,2,0,0,1,1,0
4,4,4,4,3,0,0,3,3,0
4,5,5,5,4,1,1,0,4,1
5,6,6,6,5,1,1,4,5,0
6,7,7,7,6,2,0,5,6,0
6,8,8,8,1,0,0,6,7,2
7,9,9,9,1,1,0,7,7,3
8,10,10,10,2,1,1,5,8,0
9,11,11,11,7,0,1,1,9,0
10,12,7,7,2,2,0,8,10,0
10,13,7,7,6,2,2,5,7,2
11,14,12,12,1,2,2,5,7,3
11,15,7,7,2,2,2,1,11,3
11,12,7,7,1,2,2,1,11,3
12,16,12,12,1,3,3,1,11,3
13,14,12,12,1,2,2,1,7,2
14,17,12,12,8,0,2,9,11,3
14,14,12,12,1,2,2,0,7,2
15,18,13,13,9,1,0,1,12,1
16,14,12,12,1,2,2,5,11,3
17,19,12,12,1,2,2,0,13,1
18,20,7,7,9,2,2,1,7,2
19,21,7,7,10,0,0,8,14,1
20,22,7,7,6,1,0,0,15,0
20,14,12,12,1,2,2,10,11,2
20,23,7,7,0,0,2,1,7,2
21,24,13,13,1,0,0,1,16,0
21,25,14,14,5,0,0,1,17,0
21,26,15,15,1,0,0,1,11,2
21,27,16,16,9,2,2,0,11,3
22,28,7,7,1,1,0,0,7,3
23,29,12,12,1,0,1,1,18,0
23,30,7,7,1,2,0,6,19,0
23,19,7,7,2,2,2,11,7,3
23,31,12,12,1,2,2,0,11,3
23,32,12,12,9,1,1,12,20,1
24,33,17,17,1,0,0,8,6,0
24,31,18,18,6,3,0,13,11,2
24,34,12,12,1,2,2,2,7,2
24,28,12,12,9,2,1,0,21,1
24,35,7,7,0,2,2,6,22,1
24,33,19,19,2,2,0,2,23,1
24,36,20,20,11,1,0,2,24,1
25,37,21,21,1,0,0,2,11,3
25,38,7,7,6,0,2,12,11,3
25,39,15,15,11,2,2,1,11,3
