70,32,47,14,2
64,32,45,15,2
69,31,49,15,2
55,23,40,13,2
65,28,46,15,2
57,28,45,13,2
63,33,47,16,2
49,24,33,10,2
66,29,46,13,2
52,27,39,14,2
50,20,35,10,2
59,30,42,15,2
60,22,40,10,2
61,29,47,14,2
56,29,36,13,2
67,31,44,14,2
56,30,45,15,2
58,27,41,10,2
62,22,45,15,2
56,25,39,11,2
59,32,48,18,2
61,28,40,13,2
63,25,49,15,2
61,28,47,12,2
64,29,43,13,2
66,30,44,14,2
68,28,48,14,2
67,30,50,17,2
60,29,45,15,2
57,26,35,10,2
55,24,38,11,2
55,24,37,10,2
58,27,39,12,2
60,27,51,16,2
54,30,45,15,2
60,34,45,16,2
67,31,47,15,2
63,23,44,13,2
56,30,41,13,2
55,25,40,13,2
55,26,44,12,2
61,30,46,14,2
58,26,40,12,2
50,23,33,10,2
56,27,42,13,2
57,30,42,12,2
57,29,42,13,2
62,29,43,13,2
51,25,30,11,2
57,28,41,13,2
