63,33,60,25,3
58,27,51,19,3
71,30,59,21,3
63,29,56,18,3
65,30,58,22,3
76,30,66,21,3
49,25,45,17,3
73,29,63,18,3
67,25,58,18,3
72,36,61,25,3
65,32,51,20,3
64,27,53,19,3
68,30,55,21,3
57,25,50,20,3
58,28,51,24,3
64,32,53,23,3
65,30,55,18,3
77,38,67,22,3
77,26,69,23,3
60,22,50,15,3
69,32,57,23,3
56,28,49,20,3
77,28,67,20,3
63,27,49,18,3
67,33,57,21,3
72,32,60,18,3
62,28,48,18,3
61,30,49,18,3
64,28,56,21,3
72,30,58,16,3
74,28,61,19,3
79,38,64,20,3
64,28,56,22,3
63,28,51,15,3
61,26,56,14,3
77,30,61,23,3
63,34,56,24,3
64,31,55,18,3
60,30,48,18,3
69,31,54,21,3
67,31,56,24,3
69,31,51,23,3
58,27,51,19,3
68,32,59,23,3
67,33,57,25,3
67,30,52,23,3
63,25,50,19,3
65,30,52,20,3
62,34,54,23,3
59,30,51,18,3
